"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"24","JL Family Ranch: The Wedding Gift",2020,"Western",6.2,"Sean McNamara",98,"
                        1h 23min
                    "
"25","Avengers: Infinity War",2018,"Action",8.4,"Anthony Russo",804755,"
                        2h 29min
                    "
"26","Peppermint",2018,"Action",6.5,"Pierre Morel",50105,"
                        1h 41min
                    "
"27","Hereditary",2018,"Drama",7.3,"Ari Aster",225260,"
                        2h 7min
                    "
"28","The Lion King",2019,"Animation",6.9,"Jon Favreau",202551,"
                        1h 58min
                    "
"29","Bad Boys For Life",2020,"Action",6.6,"Adil El Arbi",115853,"
                        2h 4min
                    "
"30","Deadpool 2",2018,"Action",7.7,"David Leitch",464565,"
                        1h 59min
                    "
"31","Love, Guaranteed",2020,"Romance",5.5,"Mark Steven Johnson",9369,"
                        1h 30min
                    "
"32","His House",2020,"Horror",6.2,"Remi Weekes",78,"
                        1h 33min
                    "
"33","The Secret: Dare to Dream",2020,"Drama",6.4,"Andy Tennant",2228,"
                        1h 47min
                    "
"34","It: Chapter 2",2019,"Drama",6.5,"Andy Muschietti",195788,"
                        2h 49min
                    "
"35","On the Rocks",2020,"Adventure",6.8,"Sofia Coppola",737,"
                        1h 36min
                    "
"36","Charlie's Angels",2019,"Action",4.8,"Elizabeth Banks",51844,"
                        1h 58min
                    "
"37","Uncut Gems",2019,"Crime",7.4,"Benny Safdie",203936,"
                        2h 15min
                    "
"38","A Simple Favor",2018,"Comedy",6.8,"Paul Feig",121987,"
                        1h 57min
                    "
"39","Greyhound",2020,"Action",7,"Aaron Schneider",54076,"
                        1h 31min
                    "
"40","BlacKkKlansman",2018,"Biography",7.5,"Spike Lee",211255,"
                        2h 15min
                    "
"41","The Meg",2018,"Action",5.6,"Jon Turteltaub",145119,"
                        1h 53min
                    "
"42","Infidel",2019,"Action",6.6,"Cyrus Nowrasteh",782,"
                        1h 48min
                    "
"43","Bloodshot",2020,"Action",5.7,"Dave Wilson",52840,"
                        1h 49min
                    "
"44","The Man from U.N.C.L.E.",2015,"Action",7.3,"Guy Ritchie",265329,"
                        1h 56min
                    "
"45","The Equalizer 2",2018,"Action",6.7,"Antoine Fuqua",127762,"
                        2h 1min
                    "
"46","The Irishman",2019,"Biography",7.9,"Martin Scorsese",308737,"
                        3h 29min
                    "
"47","Nishabdham",2020,"Mystery",3.8,"Hemant Madhukar",1641,"
                        2h
                    "
"48","Suicide Squad",2016,"Action",6,"David Ayer",589909,"
                        2h 3min
                    "
"50","Eurovision Song Contest: The Story of Fire Saga",2020,"Comedy",6.5,"David Dobkin",65817,"
                        2h 3min
                    "
"52","The King of Staten Island",2020,"Comedy",7.1,"Judd Apatow",24921,"
                        2h 16min
                    "
"53","Midway",2019,"Action",6.7,"Roland Emmerich",60109,"
                        2h 18min
                    "
"54","Slaughterhouse Rulez",2018,"Action",5.3,"Crispian Mills",10209,"
                        1h 44min
                    "
"55","Train to Busan 2",2020,"Action",5.5,"Sang-ho Yeon",12471,"
                        1h 56min
                    "
"56","The Tax Collector",2020,"Crime",4.7,"David Ayer",6049,"
                        1h 35min
                    "
"57","The Greatest Showman Sing-A-Long",2017,"Biography",7.6,"Michael Gracey",228713,"
                        1h 45min
                    "
"58","Fantasy Island",2020,"Action",4.9,"Jeff Wadlow",29044,"
                        1h 49min
                    "
"59","Spider-Man: Far From Home",2019,"Action",7.5,"Jon Watts",308911,"
                        2h 9min
                    "
"60","Good Time",2017,"Crime",7.4,"Benny Safdie",83150,"
                        1h 42min
                    "
