"","Index","Movie_names","Year","Advisory_rating","runtime","genre","Ratings","Description","Director","Cast","User_votes"
"5632",12045,"Guadalupe Reyes",2019,"TV-14",91,"Comedy",5.9,"After ten years, two friends meet again and decide to start the ""Guadalupe Reyes"", where they live all kinds of adventures and experiences that will test their friendship.","Salvador Espinosa","Tato Alexander",349
"5633",12048,"Stoner Express",2016,"Not Rated",105,"Comedy",4.8,"Jack comes to Amsterdam to find his father and, through a momentary magical encounter, finds the secret weapon that could turn around his father's ailing marijuana coffee shop.","Lee Lennox","Wayne Lennox",953
"5634",12060,"Cyborgs: Heroes Never Die",2017,"TV-14",112,"Action",7.9,"It is a story of a several-week-long military duty in September 2014. A group of military volunteers comes to Donetsk Airport for the first time - the Airport has been held by Ukrainians for more than four months of war.","Akhtem Seitablaev","Vyacheslav Dovzhenko",6548
"5635",12070,"Anguish",2015,"TV-MA",91,"Drama",4.5,"A girl, Tess, is diagnosed with an identity disorder that may actually be channeling an evil, dead spirit inside of her.","Sonny Mallhi","Ryan Simpkins",2091
"5636",12072,"NTR Kathanayakudu",2019,"Not Rated",169,"Biography",5.7,"Based on the journey of the legendary Telugu actor, filmmaker and ex-Chief Minister Late Taraka Rama Rao Nandamuri.","Radha Krishna Jagarlamudi","Nandamuri Balakrishna",1805
"5637",12074,"Mountain Devil",2017,"Not Rated",80,"Horror",3.4,"Based on the true events that occurred in the Appalachian Mountains, Mountain Devil recounts the frightening events of the night Frank Peterson and his friend spent the night in a secluded ...                 »","Ryan Cavalline","Eric Altman",93
"5638",12079,"What If It Works?",2017,"TV-MA",95,"Comedy",5.3,"Adrian, an irrepressibly chirpy tech nerd, has OCD. Grace, a beautiful street artist, has multiple personality disorder. It's a love story that seems impossible. But what if it works?","Romi Trower","Luke Ford",237
"5639",12092,"My Uncle John Is a Zombie!",2016,"Unrated",82,"Comedy",5.7,"A zombie kept in hiding by his niece and nephew suddenly becomes famous when the world discovers he can talk and reason as though he were alive. As his popularity grows, he is discovered by...                 »","Robert Lucas","John A. Russo",105
"5640",12094,"You're My Boss",2015,"TV-PG",116,"Comedy",6.3,"A woman who is looking for acceptance, who's looking for love, who wants to be appreciated and who wants to belong find what she's looking for from her personal assistant.","Antoinette Jadaone","Toni Gonzaga",226
"5641",12096,"Polder",2015,"PG-13",90,"Action",5,"When Marcus, the chief developer at an entertainment company called NEUROO-X, disappears, his wife Ryuko begins searching for him. The clues and riddles he left behind lead to the magical, virtual parallel world of NEUROO-X games.","Julian M. Grünthal","Samuel Schwarz",108
"5642",12098,"Viva",2015,"R",100,"Drama",7.2,"When his estranged father returns, a hairdresser is forced to quit performing at the local drag club.","Paddy Breathnach","Héctor Medina",1629
"5643",12102,"The Refuge",2019,"R",98,"Crime",5,"A getaway driver finds himself in harm's way when he gets caught up in a job involving casino heist money leading to a debt over his head.","Keith Sutliff","Keith Sutliff",1441
"5644",12105,"Anegan",2015,"Not Rated",154,"Action",6.7,"Madhu, an animator, gets thoughts about her past life, but her psychiatrist believes it to be a figment of her imagination. Madhu happens to meet Ashwin, the man she was in love with in her past life.","K.V. Anand","Dhanush",2844
"5645",12108,"Nightmare Tenant",2018,"TV-14",90,"Thriller",5.5,"Dr. Carol Allen (Lauralee Bell), a kind-hearted Ivy League alum and single mom whose high-achieving and well-rounded daughter (Heather Hopkins) gets accepted into the same university. At ...                 »","Robert Malenfant","Lauralee Bell",164
"5646",12117,"Queens of the Field",2019,"M",95,"Comedy",5.2,"The women in a small rural town join forces to form a football club in order to save the funding for their city's field.","Mohamed Hamidi","Kad Merad",192
"5647",12119,"Before All Others",2016,"PG",86,"Family",5,"A young woman's world is turned upside down when she is struck with a paralyzing disease and forced to live with her estranged grandmother who she hasn't seen since she was a little girl. ...                 »","Auturo Gavino","Suzanne McGown Brown",105
"5648",12127,"On the Horizon",2015,"Unrated",88,"Drama",7.8,"'After a road trip gone wrong, two lovers live life in opposite extremes, leading them into separate lives of flight and fancy that hinge on that one moment in time.","Pascal Payant","Tyler Johnson",60
"5649",12131,"A Promise To Astrid",2019,"TV-PG",88,"Drama",6.2,"A remarkable woman named Astrid uses unconventional methods to change the lives of an entire community. Based on the award winning book 'A Promise to Astrid'.","Jason Campbell","Gary Lee Vincent",79
"5650",12132,"Dutch Kills",2015,"TV-MA",90,"Crime",5.2,"A desperate ex-con is forced to gather his old crew for one last job to pay off his sister's debt to a dangerous local criminal.","Joseph Mazzella","R.L. Mann",86
"5651",12133,"Age of Kill",2015,"Not Rated",86,"Action",4.2,"A black ops sniper is blackmailed by a psychotic international terrorist into killing 6 unrelated people in 6 hours... but there is more to the victims than meets the eye.","Neil Jones","Martin Kemp",757
"5652",12136,"Necropolis: Legion",2019,"Not Rated",61,"Horror",3.9,"A re-imagining of the 1986 Empire Pictures exploitation movie classic, NECROPOLIS: LEGION tells the tale of satanic vampire sorceress Eva, whose sexually-charged midnight rituals are ...                 »","Chris Alexander","Augie Duke",61
"5653",12137,"Cash Only",2015,"Not Rated",91,"Crime",6.1,"A money troubled man finds some cash in an apartment which later turns out to belong to someone who stops at nothing to get his money back.","Malik Bader","Nickola Shreli",1130
"5654",12138,"Red Cow",2018,"TV-MA",90,"Drama",6.2,"Red Cow is a coming-of-age film that takes place in the days leading up to the assassination of Rabin and depicts the life of Benny, 16, orphaned from mother at birth and the only child of ...                 »","Tsivia Barkai","Avigail Kovari",107
"5655",12139,"The Depths",2017,"Not Rated",89,"Crime",5.6,"Desperate for a measure of success, wannabe screenwriters Mickey Hansen and Ray Ferguson decide to fully explore the depths of murder and crime within their story only to discover their obsession with their work has made it all too real.","Jamison M. LoCascio","Michelle Veintimilla",31
"5656",12142,"Son Of Manjeet Singh",2018,"M",139,"Comedy",7.9,"An undefined relationship between father and son of love and dreams that goes beyond all boundaries of struggles to meet the demand of generation gap.","Vikram Grover","Gurpreet Ghuggi",246
"5657",12144,"The Ladybug",2018,"PG",75,"Animation",4.9,"Seven-spotted ladybug Rube lives in a glass cage inside a greenhouse inside a glassy laboratory. He longs for legendary bug utopia Golden Canyon. When he helps dragonfly Master Water escape...                 »","Ding Shi","Lisa Schwartz",129
"5658",12145,"Under World",2019,"Not Rated",160,"Action",5.7,"Story of a group of people who must navigate the dark and dirty games of Kerala's underworld as they chase illegal money.","Arun Kumar","Asif Ali",322
"5659",12150,"Arabian Nights - Volume 2, The Desolate One",2015,"Not Rated",131,"Drama",7.1,"Continuation of the Arabian Nights stories by the structure were adapted to modern life in Portugal in three innings and the third chapter ""The Owners of Dixie"" has three chapters.","Miguel Gomes","Crista Alfaiate",1352
"5660",12152,"Just a Little Chemistry",2015,"Unrated",111,"Comedy",5.4,"Fan girl finds herself torn between the attraction for her film idol and her best male friend.","Alfonso Albacete","Ana Fernández",548
"5661",12162,"Bayonet",2018,"TV-MA",101,"Drama",5.8,"Miguel ""Bayoneta"" Galíndez, a retired boxer after a shocking event in his life, living now in Finland without a purpose until a light situation puts him on the verge of an important decision.","Kyzza Terrazas","Brontis Jodorowsky",413
"5662",12163,"Aadya Rathri",2019,"PG",129,"Comedy",4.7,"Manoharan is the last word for the villagers of Mullakkara. The marriage broker has been finding ideal match for youth in his village for 22 years. Will his thoughts on love and marriage change when Ashwathy enters the scene?","Jibu Jacob","Biju Menon",228
"5663",12171,"One Under the Sun",2017,"TV-14",101,"Drama",3.5,"Astronaut Kathryn Voss, sole survivor of a disastrous space mission, is desperate to reunite with her terminally ill daughter but becomes a fugitive when the government discovers she's returned to earth with an extraordinary gift.","Riyaana Hartley","Vincent Tran",525
"5664",12173,"Grandpa's Psycho",2015,"TV-MA",89,"Thriller",3.4,"A dark and gritty psychological thriller that explores one small town man's need to purify the world of sin, one sinner at a time. His medieval and brutal cleansing process directly ...                 »","Danny LeGare","Nicole Bardis",110
"5665",12177,"A Stroke of Luck",2016,"TV-14",90,"Comedy",4.6,"A town almost ruined. A winning lottery ticket. A lot of troubles in progress.","Nacho G. Velilla","Carmen Machi",1704
"5666",12178,"Norm of the North: King Sized Adventure",2019,"Not Rated",90,"Animation",3.2,"An ancient Chinese artifact has been stolen by a villainous archaeologist named Dexter. With the help of his Lemming friends, Norm must keep his word and embark on a journey across the ...                 »","Richard Finn","Tim Maltby",291
"5667",12188,"Joker",2016,"Not Rated",130,"Comedy",8.4,"Mannar (protagonist), a villager who declares himself to be the Indian President, protests the absurdities of the government.","Raju Murugan","Raju Saravanan",2900
"5668",12189,"Bogan",2017,"Not Rated",160,"Action",6.4,"Who is Bogan? That is the question that drives this movie about things not being as they seem.","Lakshman","Jayam Ravi",1391
"5669",12193,"Between Maybes",2019,"Not Rated",107,"Drama",6.2,"While on vacation in Japan, a Filipina actress meets a young Filipino man.","Jason Paul Laxamana","Gerald Anderson",57
"5670",12201,"Bakuman",2015,"PG",119,"Comedy",7,"Moritaka Mashiro, a junior high student, forgets his notebook in class. His classmate Akito Takagi, notes Mashiro's drawings in it and asks him to become a manga artist to his stories. ...                 »","Hitoshi Ône","Takeru Satoh",1381
"5671",12210,"Pixies",2015,"PG",78,"Animation",5.4,"Joe Beck has lost the love of his life thanks to a Pixie's Curse and he now needs to figure out how to get his girl back, learn more about the mysterious Pixies and undo a bad deed he did long ago.","Sean Patrick O'Reilly","Bill Paxton",1400
"5672",12212,"Sister Code",2015,"R",84,"Comedy",4.6,"After the death of their mother, three foster sisters - the shrewd business woman, the free spirit, and the caregiver - find themselves fighting for their individual dreams and fighting each other in this tale of love, lust, and tragedy.","Corey Grant","Amber Rose",363
"5673",12217,"Demon Hunter",2016,"TV-MA",85,"Action",3.7,"Detective Ray Beckett seeks the aid of homicide suspect, Taryn Barker, in rescuing his daughter from a demonic force.","Zoe Kavanagh","Niamh Hogan",404
"5674",12218,"El ataúd de cristal",2016,"Not Rated",75,"Horror",5.3,"Dressed for the occasion with an elegant evening dress, Amanda enters on a luxurious limousine waiting in front of her house. Suddenly the windows are tinted black, Amanda's cell phone is disabled and can not open any of the doors.","Haritz Zubillaga","Paola Bontempi",416
"5675",12223,"I Am Potential",2015,"TV-PG",94,"Drama",5.9,"A father's journey to help his blind and wheel-chair bound son to overcome impossible odds and allow the world to see his God-given potential.","Zach Meiners","Burgess Jenkins",169
"5676",12227,"Showing Roots",2016,"Not Rated",100,"Comedy",5.9,"Set in the year 1977, two women look to integrate their small town, inspired by the miniseries ""Roots"" as it hits the airwaves.","Michael Wilson","Maggie Grace",87
"5677",12228,"Kaatrin Mozhi",2018,"Not Rated",148,"Comedy",7.4,"The life of a housewife changes drastically after becoming a radio jockey in the city's biggest radio station.","Radha Mohan","Jyotika",576
"5678",12234,"Violence Voyager",2018,"M",83,"Animation",6.8,"Following an end-of-term school ceremony, the American boy Bobby decides to go with his friend Akkun into the mountains outside their village, to a place perfect for a secret base. On the ...                 »","Ujicha","Saki Fujita",146
"5679",12235,"6:66 PM",2017,"R",82,"Comedy",5.4,"A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.","Jim Klock","Jim Klock",426
"5680",12238,"Pasanga 2",2015,"M",127,"Drama",7.5,"It focuses on the issue of Attention Deficit Hyperactive Disorder (ADHD) among children, and the impact of the disorder on their lives and people around them.","Pandiraj","Suriya",1056
"5681",12239,"Apocalypse Rising",2018,"TV-MA",83,"Adventure",4.9,"They came from a doomed world to save us from the same fate.","Richard Lowry","Hunter Alexes Parker",667
"5682",12242,"Lambo",2017,"Not Rated",101,"Biography",3,"Aarron Lambert is a controversial man that provokes the system and inspires the public. A cinematic documentary following the struggles and successes of a voice that must be heard from childhood through to adult life.","Leon Mitchell","Toby Armour",144
"5683",12245,"Wandering Girl",2018,"TV-MA",82,"Drama",6.5,"A girl meets her three older stepsisters for the first time following the death of their father and embarks on a life-changing road trip.","Rubén Mendoza","Valery Altamar",192
"5684",12250,"3 Days in Quiberon",2018,"PG",115,"Drama",6.9,"In a rehab clinic  gives her last interview to two journalists. Three days, driven by romantic desire, professional ambition and the urge for living.","Emily Atef","Marie Bäumer",1150
"5685",12253,"The Miracle of the Sargasso Sea",2019,"Not Rated",121,"Crime",5.9,"In a small eel-farming town in the west of Greece, two women live solitary lives while dreaming of getting away. Elisabeth is a once-ambitious policewoman forced to relocate from Athens ten...                 »","Syllas Tzoumerkas","Angeliki Papoulia",549
"5686",12263,"Fast Convoy",2016,"Not Rated",102,"Action",5.4,"A ""go fast"" convoy shipping a ton of cannabis Malaga in southern Spain is disrupted following a shoot out that results in the kidnapping of a tourist.","Frédéric Schoendoerffer","Benoît Magimel",679
"5687",12264,"Summer of Mesa",2020,"Not Rated",76,"Drama",6.8,"Summering on Cape Cod in 1985, precocious young Lily befriends an enigmatic girl her age named Mesa. Through their shared time biking the quaint land and exploring the depths of their true ...                 »","Josh Cox","Andrea Granera",27
"5688",12265,"Is That a Gun in Your Pocket?",2016,"R",95,"Comedy",5.3,"If there's one thing that the men of Rockford Texas love as much as their women, it's their guns. But when a gun incident at a neighborhood school spurs one stay at home mom, Jenna (Andrea ...                 »","Matt Cooper","Andrea Anders",1717
"5689",12269,"A Killer Walks Amongst Us",2016,"Not Rated",91,"Crime",4.8,"Haunted by ghosts of the past, a former FBI agent helps police to track down a serial killer who is now targeting the FBI's teenage daughter.","Michael Feifer","Eva LaRue",163
"5690",12273,"A Gift Horse",2015,"TV-G",83,"Family",5.8,"A grieving, young girl works on the local ranch owned by a business tycoon, when a new horse arrives and she takes the opportunity to regain her faith by training it to win.","Teddy Smith","John Schneider",234
"5691",12275,"Pup Star: World Tour",2018,"G",87,"Comedy",4.3,"PUP STAR is back, with an all-new movie that takes the popular singing dogs on trip around the world, where Tiny and friends find fantastic new songs and meet exciting new canine singers that prove music really is the universal language.","Robert Vince","Kaitlyn Maher",154
"5692",12276,"Woodstock or Bust",2018,"Not Rated",90,"Drama",4,"Two teen song-writers saddle up their West coast '65 Mustang convertible and head East, answering the call to Yasgur's farm, to debut their original music at the Woodstock Music Festival.","Leslie Bloom","Willow Shields",153
"5693",12277,"Addiction: A 60's Love Story",2015,"Not Rated",90,"Biography",4.8,"NEW YORK CITY, 1968 Max Bornstein had the wit, looks and charm that would carry him beyond the typical man's troubles. He was untouchable... Yet the typical man's troubles were the least of...                 »","Tate Steinsiek","Happy Anderson",139
"5694",12278,"Meditation Park",2017,"PG",94,"Drama",7.2,"An aging woman questions her life after suspecting her husband is having an affair.","Mina Shum","Pei-Pei Cheng",459
"5695",12286,"Shot to the Heart",2018,"Not Rated",81,"Thriller",8,"An abused boy murders his father and his summer girlfriend tries to hide him from the police.","Brian Huckeba","Aric Cushing",319
"5696",12295,"Patient 62",2016,"Not Rated",81,"Sci",6.8,"Wracked by nightmares of the abduction of his stripper sister, Lucas Chance sets out to rescue her from a tangled in a web of human trafficking and experimentation, in the process discovering the dreams he suffers from are not his own.","Rick Anthony","Bryce Schlamp",30
"5697",12297,"We've Forgotten More Than We Ever Knew",2016,"Not Rated",88,"Drama",5.1,"A Man and a Woman wander through a hostile wilderness in a far-away world. One day, they stumble upon a mysterious set of Structures, which will complicate their lives both for good and ill.","Thomas Woodrow","Doug Jones",418
"5698",12300,"Altered Perception",2017,"Not Rated",79,"Fantasy",2.8,"A drug that alters perceptions during trauma and stress, is being advertised as a cure for socio-political tensions. Several couples volunteer for human trials but end up with more than they bargained for.","Kate Rees Davies","Jon Huertas",171
"5699",12302,"Bodysnatch",2017,"TV-MA",81,"Sci",2.9,"Recent college graduates joyride in a stolen cop car only to uncover a secret that will doom mankind.","Louis Benjamin Del Guercio","Sarah Davenport",200
"5700",12303,"Holiday Heist",2019,"TV-PG",87,"Crime",5.7,"A man released from prison is torn between a life of crime and a fresh start with a woman he meets while scoping out a potential heist","Roger M. Bobb","Chaley Rose",65
